Tamil,English
﻿ரணவிரு சேவை அதிகார சபை,﻿Ranaviru Sewa Authority
வருடாந்த அறிக்கை 2011,Annual Report 2011
"இல. 301, 4ஆம் மாடி,","No.301, 4th Floor,"
டி.பி. ஜாயா மாவத்தை,T.B.Jayah Mawatha
கொழும்பு 10,Colombo 10
உள்ளடக்கம்,Contents
01. இராணுவ வீரன் எனும் பெயருக்கு தேசத்தின் நன்றி,01. Nation’s gratitude to the name 'Ranaviru'
02. முன்னுரை,02. Preamble
03. எமது பணிகள்,03. Our Functions
04. இலக்காக கொள்ளப்பட்ட பயனாளிகள்,04. Targeted Beneficiaries
05. நோக்கங்கள்,05. Objectives
06. 2011 ஆம் வருடத்திற்கான அணுகுமுறை - நிகழ்ச்சித்திட்டத்திற்கான வரவு செலவு,06. Approach for the year 2011- Project Budget
07. ரணவிரு சேவை அதிகார சபையின் பணிக்குழு /,07. Staff of the Ranaviru Sewa Authority/
திட்ட முகாமையாளர் மற்றும் நிர்வாக உத்தியோகத்தர் பதவி /,Post of Project Manager and Administrative Officer/
அதிகார சபையின் தலைமைக் காரியாலயம்,Head Quarters of the Authority
08. நிதி உதவி பெறுதல்,08. Receipt of Financial Assistance
09. 2011ஆம் வருடத்தில் செயற்படுத்தப்பட்ட விசேட  நிகழ்ச்சித்திட்டங்கள்,09. Special projects implemented in 2011
10. இலக்கையும் நோக்கத்தினையும் அடைவதற்கான வழிவகைகள்,10. Methodologies to achieve targets and objectives
11. தரவு மற்றும் தகவல் பிரிவு,11. Data and information Division
12. உடல் மற்றும் உளவியல் வலுவூட்டல் பிரிவு,12. Physical and Mental empowerment division
i. உளவியல் நிகழ்ச்சித்திட்டம்,i. Psychosocial project
ii. ஊனமுற்ற இராணுவத்தினரின் நலன்புரித்திட்டங்கள்,ii. Disabled war heroes’ welfare project
13. கல்வித்திறன் மற்றும் பொருளாதார அபிவிருத்திப் பிரிவு,13. Education skills and Economic Development Division
i. திறன்கள் மற்றும் அபிவிருத்திப் பிரிவு,i. Skills and Development Division
ii. வீட்டுக் கடன்கள்,ii. Housing Loans
iii. கல்விப் புலமைப்பரிசில் திட்டம்,iii. Education Scholarship Project
iv. வளர்ப்புப் பெற்றோர் நிகழ்ச்சித்திட்டம்,iv. Foster Parent Programme
v. பெற்றோர் பாதுகாப்பு நிகழ்ச்சித்திட்டம்,v. Mapiya Surekuma Programme
vi. வீட்டு உதவித் திட்டம்,vi. Housing Assistance Project
14. போர் வீரர்களுக்கான கௌரவம் மற்றும் அபிமான பிரிவு,14. War hero Honor and Dignity Division
i. ரணவிரு ஞாபகார்த்த திட்டம்,i. Ranaviru Remembrance Project
ii. காணித் திட்டம்,ii. Land project
15. சமூக மற்றும் கலாசாரப் பிரிவு,15. Social and Cultural Division
i. சனசமுக செயற்றிட்டம்,i. Community  Project
